Time,ch1,ch1_Interpolated,ch7,ch8,rssi
06/07/2014 00:38:24.996340000,25.3223018646,,25.9099998474,50.1699981689,-54
06/07/2014 00:38:29.998669000,25.3334617615,,25.9099998474,50.1699981689,-54
06/07/2014 00:38:34.995680000,25.3345680237,,25.8999996185,50.1699981689,-55
06/07/2014 00:38:39.998850000,25.3399181366,,25.8999996185,50.2000007629,-55
06/07/2014 00:38:44.997715000,25.2719593048,,25.8899993896,50.2200012207,-55
06/07/2014 00:38:49.998542000,25.2775840759,,25.8999996185,50.2200012207,-55
06/07/2014 00:38:54.998697000,25.281457901,,25.8799991608,50.2599983215,-55
06/07/2014 00:38:59.998503000,25.2900352478,,25.8799991608,50.2599983215,-55
06/07/2014 00:39:04.999186000,25.2891120911,,25.8999996185,50.2599983215,-55
06/07/2014 00:39:09.996243000,25.2891120911,,25.8799991608,50.2900009155,-54
06/07/2014 00:39:14.995896000,25.2964878082,,25.8799991608,50.2900009155,-54
06/07/2014 00:39:19.995858000,25.3043346405,,25.8799991608,50.2900009155,-54
06/07/2014 00:39:24.996191000,25.2966747284,,25.8600006104,50.2900009155,-55
06/07/2014 00:39:29.997613000,25.3058986664,,25.8799991608,50.2900009155,-54
06/07/2014 00:39:34.998189000,25.3046970367,,25.8799991608,50.3199996948,-55
06/07/2014 00:39:39.995779000,25.3033161163,,25.8700008392,50.3199996948,-55
06/07/2014 00:39:44.995823000,25.314201355,,25.8700008392,50.3199996948,-54
06/07/2014 00:39:49.997838000,25.2977848053,,25.8700008392,50.3199996948,-55
06/07/2014 00:39:54.995032000,25.3114356995,,25.8600006104,50.3199996948,-54
06/07/2014 00:39:59.998149000,25.3253612518,,25.8600006104,50.3199996948,-55
06/07/2014 00:40:04.995931000,25.3101406097,,25.8500003815,50.3499984741,-54
06/07/2014 00:40:09.995486000,25.3300628662,,25.8500003815,50.3499984741,-54
06/07/2014 00:40:14.995861000,25.3319072723,,25.8500003815,50.3199996948,-54
06/07/2014 00:40:19.996278000,25.3269290924,,25.8500003815,50.3499984741,-54
06/07/2014 00:40:24.996157000,25.3355045319,,25.8600006104,50.3499984741,-54
06/07/2014 00:40:29.999224000,25.3355960846,,25.8400001526,50.3499984741,-54
06/07/2014 00:40:34.995922000,25.3455581665,,25.8400001526,50.3499984741,-54
06/07/2014 00:40:39.998306000,25.3419628143,,25.8299999237,50.3199996948,-54
06/07/2014 00:40:44.999443000,25.3532142639,,25.8299999237,50.3199996948,-55
06/07/2014 00:40:49.995806000,25.3485107422,,25.8400001526,50.3499984741,-55
06/07/2014 00:40:54.996471000,25.3557052612,,25.8199996948,50.3199996948,-55
06/07/2014 00:41:00.000186000,25.3551502228,,25.8400001526,50.2900009155,-55
